223516063:[51.5499588, 7.4080237]
223516178:[51.5515405, 7.4121702]
223516262:[51.5545016, 7.4117562]
255265470:[51.5583198, 7.4645747]
255265471:[51.5620338, 7.4646226]
255265472:[51.5635162, 7.4635067]
255265473:[51.5638626, 7.4647087]
255265474:[51.5650014, 7.4647736]
255265478:[51.5657488, 7.4623686]
255265479:[51.5670315, 7.4618958]
255265480:[51.5675364, 7.4650114]
255265481:[51.5693012, 7.4648037]
255265482:[51.5690596, 7.4603758]
255265483:[51.5689354, 7.4603683]
255265484:[51.5686879, 7.4591004]
255265485:[51.5697319, 7.458119]
255265486:[51.5697632, 7.4570827]
255265487:[51.571855, 7.4571519]
255265488:[51.5719444, 7.4566614]
255265492:[51.568566, 7.4511761]
255265493:[51.5683963, 7.4506857]
255265494:[51.5663248, 7.4500221]
255265495:[51.5659136, 7.4474703]
255265496:[51.5655349, 7.4471275]
255265497:[51.5642069, 7.4494854]
255265499:[51.5635298, 7.4521973]
255265500:[51.5626919, 7.4501213]
255265501:[51.5618319, 7.4500452]
255265502:[51.5612218, 7.4507752]
255265503:[51.5590863, 7.4513836]
255265504:[51.559705, 7.4563076]
255265505:[51.5559961, 7.4561177]
255265506:[51.5563181, 7.4581737]
255265507:[51.5565009, 7.4581414]
255265508:[51.5571874, 7.4579722]
255265509:[51.5574794, 7.4600481]
256503912:[51.5503703, 7.4573438]
256503915:[51.5497855, 7.4531247]
256503917:[51.5492932, 7.4524383]
256503920:[51.5516875, 7.4479609]
256503922:[51.5518341, 7.4470304]
256510083:[51.541721, 7.4194068]
263032078:[51.5691196, 7.41156]
263032079:[51.5693064, 7.4111137]
263032124:[51.5619671, 7.4198701]
263032125:[51.5603709, 7.4200933]
263032146:[51.5652642, 7.4224432]
263032147:[51.5637068, 7.4226855]
263032148:[51.5639603, 7.4274062]
263032149:[51.5655303, 7.4271976]
263032171:[51.5632581, 7.4217756]
263032172:[51.5631524, 7.4196209]
263032173:[51.5643379, 7.4194704]
263032175:[51.5642027, 7.4179826]
263032183:[51.5645202, 7.4185379]
263032184:[51.5645637, 7.4194281]
263032185:[51.567424, 7.4190664]
263032186:[51.56753, 7.4212358]
263032867:[51.5687903, 7.4512365]
271920392:[51.5580841, 7.4186248]
271920393:[51.5584057, 7.4187421]
271920396:[51.5588481, 7.4189051]
271920397:[51.559117, 7.4189095]
271920398:[51.5594307, 7.4187937]
271920402:[51.5624729, 7.4189519]
271920404:[51.5628375, 7.4188964]
273724951:[51.5630699, 7.410342]
273724954:[51.5594775, 7.4144577]
273724956:[51.5555953, 7.415115]
273724957:[51.5549583, 7.4148817]
273724960:[51.5515524, 7.4192794]
273724962:[51.5511161, 7.4197152]
273724963:[51.550841, 7.419776]
273724965:[51.5485491, 7.4202466]
273724968:[51.5454159, 7.4212911]
275995953:[51.5655163, 7.4524021]
275995954:[51.5650789, 7.4523469]
275995955:[51.5648277, 7.4523906]
275995956:[51.5645395, 7.4524751]
275995957:[51.5644075, 7.4523007]
275995959:[51.5641438, 7.4520146]
275995960:[51.5638303, 7.451726]
275995961:[51.5636412, 7.4517342]
275995962:[51.5632256, 7.4519032]
275995963:[51.5628862, 7.4520911]
275995964:[51.5625769, 7.4523291]
275995965:[51.5622194, 7.4526724]
275995966:[51.5619419, 7.4529986]
275995967:[51.5616698, 7.4534277]
275995968:[51.5613443, 7.4538483]
275995969:[51.5609601, 7.4542174]
275995970:[51.5606282, 7.4545709]
275995971:[51.5604796, 7.4547828]
275995972:[51.5604449, 7.4548729]
275995973:[51.5603479, 7.4553454]
275995974:[51.5603453, 7.4557294]
275995976:[51.5603642, 7.456494]
275995977:[51.5603446, 7.456821]
275995978:[51.5601088, 7.4573413]
275995979:[51.5599989, 7.4576517]
275995981:[51.5599135, 7.4589628]
275995982:[51.5598847, 7.4595323]
275995983:[51.559836, 7.4603595]
275995984:[51.5597566, 7.4610436]
275995987:[51.5594832, 7.4630555]
275995988:[51.5593587, 7.46361]
275995989:[51.5592181, 7.4639547]
275995990:[51.559027, 7.4645871]
275996755:[51.5619756, 7.464661]
275996759:[51.5626303, 7.4611696]
275996760:[51.5628597, 7.4601483]
275996761:[51.5633666, 7.4578652]
